task,optimizer,baseline,win,two_x,rationale
wine_mlp,block_direction_optimizer_v4_fast,block_direction_optimizer_v42,False,False,no clear advantage
block_structure_classification,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,higher best validation accuracy
breast_cancer_mlp,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,higher best validation accuracy
digits_cnn,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,higher best validation accuracy
digits_mlp,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,higher best validation accuracy
direction_reversal_objective,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,lower best validation loss
low_rank_matrix_objective,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,False,False,no clear advantage
moons_mlp,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,higher best validation accuracy
oscillatory_valley,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,True,lower best validation loss
plateau_escape_objective,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,lower best validation loss
saddle_objective,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,lower best validation loss
wine_mlp,block_direction_optimizer_v4_fast,magneto_hamiltonian_adam,True,False,higher best validation accuracy
block_structure_classification,block_direction_optimizer_v4_fast,adamw,True,True,matched accuracy with fewer steps
breast_cancer_mlp,block_direction_optimizer_v4_fast,adamw,True,True,matched accuracy with fewer steps
digits_cnn,block_direction_optimizer_v4_fast,adamw,False,False,no clear advantage
digits_mlp,block_direction_optimizer_v4_fast,adamw,False,False,no clear advantage
direction_reversal_objective,block_direction_optimizer_v4_fast,adamw,True,False,lower best validation loss
low_rank_matrix_objective,block_direction_optimizer_v4_fast,adamw,True,False,lower best validation loss
moons_mlp,block_direction_optimizer_v4_fast,adamw,False,False,no clear advantage
oscillatory_valley,block_direction_optimizer_v4_fast,adamw,True,True,lower best validation loss
plateau_escape_objective,block_direction_optimizer_v4_fast,adamw,True,True,lower best validation loss
saddle_objective,block_direction_optimizer_v4_fast,adamw,True,True,lower best validation loss
wine_mlp,block_direction_optimizer_v4_fast,adamw,False,False,no clear advantage
block_structure_classification,block_direction_optimizer_v4_fast,rmsprop,False,False,no clear advantage
breast_cancer_mlp,block_direction_optimizer_v4_fast,rmsprop,True,False,matched accuracy with fewer steps
digits_cnn,block_direction_optimizer_v4_fast,rmsprop,False,False,no clear advantage
digits_mlp,block_direction_optimizer_v4_fast,rmsprop,False,False,no clear advantage
direction_reversal_objective,block_direction_optimizer_v4_fast,rmsprop,True,False,lower best validation loss
low_rank_matrix_objective,block_direction_optimizer_v4_fast,rmsprop,True,False,lower best validation loss
moons_mlp,block_direction_optimizer_v4_fast,rmsprop,False,False,no clear advantage
oscillatory_valley,block_direction_optimizer_v4_fast,rmsprop,True,False,lower best validation loss
plateau_escape_objective,block_direction_optimizer_v4_fast,rmsprop,True,False,lower best validation loss
saddle_objective,block_direction_optimizer_v4_fast,rmsprop,True,False,lower best validation loss
wine_mlp,block_direction_optimizer_v4_fast,rmsprop,False,False,no clear advantage
block_structure_classification,block_direction_optimizer_v4_fast,sgd_momentum,False,False,no clear advantage
breast_cancer_mlp,block_direction_optimizer_v4_fast,sgd_momentum,True,True,matched accuracy with fewer steps
digits_cnn,block_direction_optimizer_v4_fast,sgd_momentum,False,False,no clear advantage
digits_mlp,block_direction_optimizer_v4_fast,sgd_momentum,False,False,no clear advantage
direction_reversal_objective,block_direction_optimizer_v4_fast,sgd_momentum,False,False,no clear advantage
low_rank_matrix_objective,block_direction_optimizer_v4_fast,sgd_momentum,False,False,no clear advantage
moons_mlp,block_direction_optimizer_v4_fast,sgd_momentum,False,False,no clear advantage
oscillatory_valley,block_direction_optimizer_v4_fast,sgd_momentum,True,False,lower best validation loss
plateau_escape_objective,block_direction_optimizer_v4_fast,sgd_momentum,True,False,lower best validation loss
saddle_objective,block_direction_optimizer_v4_fast,sgd_momentum,True,False,lower best validation loss
wine_mlp,block_direction_optimizer_v4_fast,sgd_momentum,False,False,no clear advantage
